Unnamed: 0,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
1852,26.0,0,1,9.0,1,2,3,3.0,0,5.0,2,1.0,0,3,0,1.0,1,18102.0
1712,41.0,1,1,25.0,2,2,2,3.0,1,5.0,1,3.0,0,1,0,0.0,2,18072.0
222,37.0,0,1,17.0,2,2,2,3.0,3,3.0,1,2.0,1,3,0,1.0,3,27185.0
2145,31.0,1,3,13.0,2,2,2,4.0,0,3.0,1,4.0,0,4,1,1.0,1,17329.0
4867,45.0,1,3,8.0,2,2,3,6.0,1,4.0,2,8.0,0,3,0,2.0,2,21040.0
514,33.0,0,1,9.0,2,2,3,3.0,0,5.0,2,2.0,1,5,1,2.0,1,18348.0
2795,33.0,1,1,9.0,3,1,4,4.0,0,4.0,0,3.0,0,4,0,1.0,1,21048.0
1074,33.0,1,1,14.0,2,2,3,3.0,1,3.0,3,3.0,1,3,0,2.0,2,21388.0
402,30.0,1,3,18.0,1,1,2,3.0,1,3.0,3,1.0,0,2,1,0.0,2,21577.0
547,42.0,0,1,25.0,3,2,2,2.0,0,3.0,1,7.0,1,3,1,1.0,1,17759.0
1899,46.0,1,1,8.0,2,2,2,3.0,4,3.0,1,7.0,0,5,1,0.0,0,32861.0
4656,51.0,1,1,16.0,2,2,4,4.0,0,3.0,1,6.0,0,5,1,3.0,1,21058.0
1880,30.0,1,1,8.0,2,1,2,5.0,1,3.0,2,3.0,0,1,1,0.0,2,21091.0
2742,37.0,0,1,25.0,2,2,3,3.0,0,3.0,0,6.0,0,5,0,1.0,1,22366.0
1323,28.0,0,2,6.0,2,2,2,3.0,0,3.0,1,2.0,0,4,0,1.0,1,17706.0
1357,42.0,1,1,12.0,3,2,2,3.0,3,5.0,1,1.0,0,3,1,0.0,3,28348.0
617,44.0,1,1,10.0,3,2,2,3.0,1,4.0,2,1.0,0,2,1,0.0,2,20933.0
3637,39.0,0,1,9.0,3,1,3,5.0,0,4.0,2,3.0,0,1,1,1.0,1,21118.0
253,42.0,1,1,23.0,2,1,2,2.0,1,5.0,3,4.0,1,2,0,0.0,2,21545.0
2223,39.0,0,1,28.0,3,0,2,3.0,3,5.0,3,2.0,1,5,1,1.0,3,25880.0
944,28.0,0,1,6.0,2,1,2,5.0,1,3.0,0,1.0,0,3,1,0.0,2,21674.0
2079,43.0,1,1,20.0,2,2,3,3.0,4,5.0,1,7.0,0,5,1,1.0,0,32159.0
3372,45.0,1,1,22.0,3,1,4,4.0,3,3.0,0,3.0,0,3,0,2.0,3,26656.0
4382,53.0,1,1,13.0,1,2,4,4.0,1,5.0,1,5.0,1,4,1,2.0,2,24255.0
4062,42.0,1,1,16.0,2,2,4,4.0,0,5.0,1,4.0,0,1,0,1.0,1,20916.0
9,36.0,1,1,33.0,3,2,3,3.0,1,3.0,0,7.0,0,3,1,0.0,2,20237.0
3259,22.0,1,1,7.0,1,1,4,5.0,0,4.0,2,3.0,1,5,0,3.0,1,20748.0
2664,37.0,1,1,12.0,2,2,4,4.0,1,4.0,3,2.0,0,2,0,3.0,2,24592.0
3501,30.0,0,3,20.0,1,0,3,4.0,1,4.0,3,7.0,0,3,0,2.0,2,24443.0
3967,36.0,0,1,18.0,3,2,4,5.0,3,5.0,1,4.0,1,5,1,3.0,3,28562.0
186,40.0,1,1,10.0,3,1,2,3.0,2,3.0,0,2.0,0,5,0,1.0,4,34033.0
136,51.0,0,1,14.0,2,2,2,5.0,3,3.0,3,3.0,0,2,0,1.0,3,25650.0
3835,39.0,1,3,7.0,2,2,3,5.0,0,5.0,3,6.0,0,3,0,2.0,1,21536.0
390,43.0,1,1,18.0,2,2,2,4.0,4,4.0,1,2.0,0,3,0,1.0,0,29336.0
40,35.0,1,1,10.0,2,2,3,3.0,0,3.0,1,2.0,0,4,0,0.0,1,16951.0
2695,40.0,0,1,9.0,1,1,4,4.0,3,3.0,2,2.0,0,2,1,2.0,3,29616.0
3753,27.0,1,3,17.0,3,2,3,4.0,1,3.0,3,3.0,0,1,0,1.0,2,23362.0
762,26.0,0,1,8.0,2,2,2,3.0,0,5.0,0,7.0,1,5,1,0.0,1,17042.0
119,43.0,0,3,32.0,2,2,3,3.0,4,3.0,0,2.0,1,2,0,0.0,0,31959.0
3339,32.0,1,1,18.0,3,2,4,4.0,1,5.0,0,3.0,1,2,0,3.0,2,25511.0
2560,35.0,1,1,12.0,3,1,3,5.0,3,5.0,2,4.0,0,2,0,1.0,3,30309.0
4135,34.0,1,1,11.0,3,1,3,5.0,0,4.0,1,8.0,0,4,0,2.0,1,21300.0
1016,31.0,1,1,14.0,2,1,2,4.0,0,4.0,2,2.0,0,4,0,1.0,1,16261.0
4748,35.0,1,3,16.0,2,1,4,4.0,1,3.0,1,3.0,0,1,0,1.0,2,24392.0
4865,42.0,0,3,16.0,2,2,3,6.0,4,3.0,1,2.0,0,5,1,2.0,0,24829.0
2030,34.0,1,1,14.0,2,1,2,3.0,1,5.0,1,4.0,0,5,1,1.0,2,20121.0
2680,34.0,1,1,9.0,2,1,3,4.0,0,5.0,0,2.0,0,3,1,1.0,1,21385.0
22,34.0,1,1,13.0,2,0,2,3.0,3,4.0,3,1.0,0,3,1,0.0,3,26994.0
2643,39.0,1,1,36.0,1,2,3,4.0,1,3.0,0,5.0,0,2,0,2.0,2,24939.0
3965,29.0,1,1,12.0,1,2,3,4.0,0,3.0,3,3.0,1,1,0,1.0,1,22119.0
1288,35.0,0,1,8.0,3,2,2,3.0,1,3.0,1,3.0,0,3,0,1.0,2,20762.0
293,26.0,1,3,10.0,3,2,2,4.0,1,3.0,2,2.0,1,2,1,1.0,2,20828.0
2562,37.0,1,1,10.0,2,1,3,4.0,0,3.0,1,7.0,0,2,1,1.0,1,21513.0
3734,35.0,0,1,16.0,2,2,4,4.0,1,5.0,1,6.0,0,3,0,2.0,2,24024.0
4727,40.0,0,1,9.0,2,2,3,4.0,4,3.0,1,2.0,0,3,1,1.0,0,30847.0
363,33.0,1,3,11.0,3,1,2,3.0,0,3.0,2,2.0,1,2,1,0.0,1,17851.0
642,38.0,1,3,15.0,3,2,3,4.0,0,4.0,0,1.0,0,4,0,0.0,1,17899.0
4794,33.0,0,1,20.0,2,1,4,5.0,0,4.0,1,3.0,0,5,1,1.0,1,21421.0
589,29.0,1,1,6.0,2,1,2,4.0,0,5.0,0,2.0,1,2,0,0.0,1,17319.0
4504,34.0,1,1,14.0,3,2,3,4.0,3,3.0,1,2.0,0,4,1,1.0,3,30369.0
3314,36.0,1,3,24.0,2,2,4,4.0,1,5.0,0,5.0,1,3,1,2.0,2,27644.0
86,23.0,1,3,8.0,1,2,3,3.0,0,5.0,1,4.0,0,3,1,1.0,1,17322.0
2855,61.0,1,1,14.0,2,1,3,4.0,2,5.0,0,7.0,0,5,0,1.0,4,38244.0
2384,55.0,0,3,8.0,2,0,2,4.0,0,3.0,2,1.0,0,5,0,0.0,1,28577.0
2871,61.0,0,3,35.0,3,1,4,5.0,3,5.0,0,6.0,0,2,1,1.0,3,28944.0
4245,28.0,0,3,7.0,3,2,4,4.0,1,4.0,1,2.0,1,1,0,2.0,2,25027.0
1536,36.0,0,1,17.0,2,2,3,4.0,1,4.0,3,2.0,0,4,1,1.0,2,21499.0
2902,41.0,0,3,35.0,2,2,3,6.0,3,5.0,1,5.0,0,5,1,1.0,3,29610.0
2766,33.0,1,1,9.0,3,0,4,3.0,1,3.0,3,2.0,0,3,1,3.0,2,23733.0
1455,40.0,1,1,8.0,2,2,2,4.0,0,3.0,2,3.0,0,5,0,1.0,1,17809.0
2863,31.0,0,1,10.0,2,2,3,4.0,0,3.0,0,6.0,0,3,0,2.0,1,20775.0
4595,39.0,1,1,7.0,1,1,4,4.0,3,5.0,1,3.0,0,4,1,2.0,3,32260.0
2250,28.0,0,1,30.0,1,2,3,4.0,3,5.0,3,2.0,0,1,1,1.0,3,23722.0
3516,30.0,0,1,9.0,2,1,4,4.0,0,4.0,0,2.0,0,5,0,3.0,1,21858.0
627,52.0,0,1,31.0,3,1,2,4.0,4,3.0,0,4.0,0,5,0,1.0,0,28826.0
2814,22.0,1,3,19.0,2,1,3,3.0,0,4.0,3,3.0,0,5,0,2.0,1,21394.0
1809,27.0,1,3,14.0,3,1,2,3.0,1,4.0,1,2.0,0,1,0,1.0,2,21214.0
4771,45.0,1,1,17.0,2,2,4,4.0,0,3.0,3,3.0,1,3,1,1.0,1,21614.0
2412,36.0,1,3,16.0,3,2,2,4.0,3,5.0,1,1.0,0,5,0,0.0,3,22094.0
333,43.0,1,1,13.0,2,1,2,3.0,3,5.0,0,1.0,0,5,1,0.0,3,24985.0
927,36.0,1,1,8.0,2,1,2,3.0,1,4.0,2,1.0,1,3,1,0.0,2,20410.0
187,55.0,1,1,20.0,3,2,3,2.0,2,4.0,2,1.0,0,2,0,2.0,4,33722.0
1354,56.0,1,1,30.0,2,2,3,3.0,0,3.0,2,2.0,0,3,0,0.0,1,17587.0
281,42.0,1,3,6.0,2,2,2,3.0,1,3.0,0,2.0,0,3,1,0.0,2,19907.0
2053,34.0,1,3,14.0,2,1,3,3.0,1,5.0,1,6.0,0,1,1,2.0,2,21500.0
1557,51.0,1,1,15.0,2,2,3,3.0,0,3.0,1,4.0,0,3,1,0.0,1,17075.0
2581,40.0,1,3,11.0,2,1,3,5.0,1,3.0,0,6.0,0,5,1,1.0,2,24580.0
3014,53.0,0,1,26.0,3,2,3,4.0,0,3.0,0,2.0,0,3,1,1.0,1,22936.0
2573,50.0,1,1,27.0,3,1,4,4.0,1,5.0,0,3.0,0,2,1,3.0,2,25245.0
540,28.0,1,1,6.0,2,1,3,5.0,0,4.0,2,1.0,1,2,1,0.0,1,17216.0
3072,38.0,1,3,23.0,3,2,4,5.0,1,3.0,1,6.0,0,5,1,3.0,2,25012.0
1599,49.0,1,1,26.0,3,1,3,3.0,1,5.0,1,2.0,0,1,1,0.0,2,21567.0
3449,30.0,1,2,24.0,2,2,3,5.0,3,5.0,3,3.0,0,3,0,1.0,3,26666.0
16,32.0,1,1,11.0,2,2,3,2.0,0,4.0,1,1.0,1,2,1,0.0,1,18298.0
3025,31.0,1,1,7.0,2,2,3,6.0,0,3.0,0,5.0,0,4,1,1.0,1,22511.0
4590,36.0,1,1,28.0,2,1,3,4.0,1,3.0,1,3.0,1,3,0,1.0,2,22692.0
457,18.0,0,3,11.0,3,2,3,3.0,0,4.0,2,2.0,1,4,1,2.0,1,16878.0
1726,42.0,1,1,8.0,3,1,2,4.0,0,5.0,1,1.0,1,4,1,1.0,1,17593.0
4294,25.0,1,3,17.0,3,1,4,4.0,1,3.0,1,3.0,1,1,0,1.0,2,22938.0
1308,38.0,1,3,8.0,3,1,3,5.0,1,3.0,1,3.0,1,3,0,0.0,2,20405.0
3237,29.0,1,1,22.0,2,2,3,4.0,0,3.0,1,3.0,0,4,1,2.0,1,20885.0
4318,29.0,1,1,24.0,3,2,4,4.0,1,5.0,1,3.0,0,1,0,2.0,2,23236.0
1485,29.0,1,1,27.0,2,1,2,1.0,3,5.0,1,2.0,0,5,1,1.0,3,24980.0
1784,39.0,1,1,16.0,3,2,3,3.0,4,5.0,1,2.0,1,3,1,2.0,0,32068.0
1799,47.0,1,1,11.0,2,2,2,3.0,2,3.0,1,5.0,0,1,1,0.0,4,33300.0
2980,61.0,1,3,23.0,3,2,3,4.0,1,5.0,3,2.0,0,4,1,1.0,2,24083.0
3893,33.0,1,1,9.0,1,2,4,4.0,0,5.0,2,3.0,0,1,1,2.0,1,21117.0
2045,54.0,1,1,25.0,3,1,3,3.0,1,5.0,1,1.0,1,3,0,2.0,2,20485.0
2309,42.0,1,3,10.0,3,2,2,3.0,1,5.0,2,1.0,0,5,1,0.0,2,20155.0
2788,36.0,1,1,12.0,1,2,4,4.0,3,4.0,3,2.0,0,3,0,1.0,3,26773.0
583,34.0,1,3,14.0,2,1,3,3.0,1,5.0,0,6.0,0,2,1,0.0,2,21500.0
2486,27.0,1,1,32.0,2,2,3,6.0,0,3.0,2,3.0,0,2,1,2.0,1,20971.0
1499,46.0,1,3,8.0,3,1,2,3.0,2,5.0,2,4.0,0,1,1,1.0,4,33947.0
3851,25.0,1,1,7.0,2,2,3,5.0,1,3.0,3,3.0,0,3,1,2.0,2,23295.0
3852,24.0,1,1,19.0,2,2,4,4.0,0,3.0,3,3.0,0,5,1,1.0,1,21325.0
1333,46.0,1,3,16.0,2,1,3,3.0,3,4.0,1,6.0,0,1,0,2.0,3,22314.0
2392,44.0,1,3,15.0,2,2,3,4.0,0,5.0,1,4.0,0,1,1,2.0,1,34190.0
709,31.0,0,1,15.0,3,2,2,4.0,0,5.0,2,1.0,1,3,1,0.0,1,17321.0
366,41.0,0,3,10.0,3,2,2,3.0,1,4.0,3,2.0,0,3,1,0.0,2,24355.0
4367,27.0,0,2,24.0,2,1,3,4.0,0,3.0,1,2.0,1,5,0,2.0,1,21419.0
1522,44.0,1,3,6.0,3,1,3,3.0,1,5.0,1,6.0,1,1,1,1.0,2,20454.0
3066,33.0,1,3,20.0,2,2,4,4.0,1,3.0,1,4.0,0,2,0,1.0,2,23081.0
464,37.0,1,1,6.0,1,1,2,3.0,3,3.0,3,5.0,0,5,1,1.0,3,22491.0
1213,23.0,1,3,13.0,2,2,2,3.0,0,3.0,1,2.0,1,1,1,0.0,1,17275.0
3393,40.0,1,1,25.0,2,2,3,4.0,1,3.0,3,2.0,0,3,0,1.0,2,23212.0
3504,25.0,0,1,16.0,3,2,3,4.0,0,5.0,3,4.0,1,3,0,2.0,1,21850.0
386,37.0,1,1,20.0,2,1,3,3.0,0,5.0,1,2.0,0,4,1,0.0,1,18034.0
163,57.0,1,1,30.0,2,2,2,2.0,3,3.0,1,4.0,1,4,1,1.0,3,24439.0
1994,34.0,1,1,15.0,3,0,2,4.0,3,4.0,3,2.0,0,1,1,0.0,3,23621.0
909,19.0,1,1,31.0,2,1,2,1.0,0,3.0,2,2.0,1,5,1,0.0,1,17994.0
1316,43.0,0,3,8.0,2,2,3,3.0,1,3.0,1,2.0,0,3,1,2.0,2,20675.0
3505,25.0,0,3,20.0,2,1,4,4.0,0,4.0,0,3.0,0,1,0,1.0,1,20711.0
3618,26.0,0,1,9.0,2,2,4,2.0,1,3.0,1,3.0,0,1,0,2.0,2,23884.0
809,28.0,1,1,9.0,3,1,3,3.0,3,4.0,1,1.0,0,4,0,0.0,3,22655.0
2918,25.0,1,1,30.0,3,2,3,3.0,0,3.0,0,3.0,1,4,0,2.0,1,21403.0
4172,52.0,1,1,7.0,2,2,4,4.0,0,3.0,1,3.0,0,4,1,1.0,1,21401.0
3913,35.0,1,1,15.0,3,2,3,2.0,1,3.0,1,4.0,0,3,0,2.0,2,23082.0
3107,22.0,1,1,25.0,2,1,4,4.0,0,3.0,3,3.0,0,3,1,2.0,1,21371.0
3523,40.0,1,1,13.0,2,0,3,4.0,3,4.0,3,6.0,0,3,0,2.0,3,27054.0
3076,43.0,0,1,9.0,3,2,3,4.0,0,3.0,2,7.0,1,2,0,2.0,1,21193.0
3303,30.0,1,1,22.0,2,1,4,6.0,0,3.0,0,2.0,1,5,1,1.0,1,20846.0
1024,47.0,1,1,8.0,3,1,2,3.0,4,3.0,0,4.0,0,5,1,0.0,0,32169.0
3051,50.0,1,3,18.0,3,1,3,4.0,3,3.0,0,3.0,0,4,0,2.0,3,26332.0
3394,32.0,0,3,9.0,2,1,3,4.0,3,3.0,1,3.0,1,1,1,1.0,3,28530.0
2943,34.0,1,3,15.0,3,2,3,4.0,1,3.0,1,2.0,0,2,1,2.0,2,25782.0
3045,41.0,0,1,23.0,3,2,3,5.0,1,3.0,3,8.0,0,5,1,2.0,2,23772.0
1338,30.0,1,3,15.0,3,2,2,3.0,0,3.0,2,2.0,0,5,0,0.0,1,16081.0
4859,51.0,0,3,19.0,2,2,3,4.0,1,3.0,2,5.0,1,3,1,2.0,2,35558.0
1369,28.0,1,3,19.0,3,0,2,3.0,1,3.0,3,4.0,1,5,1,1.0,2,24854.0
3941,43.0,1,3,15.0,3,2,3,4.0,1,4.0,1,2.0,0,3,1,1.0,2,25503.0
4722,30.0,1,1,35.0,2,1,4,4.0,0,3.0,1,6.0,0,5,1,1.0,1,21192.0
3044,33.0,1,1,11.0,2,1,4,5.0,1,3.0,0,3.0,0,4,1,1.0,2,24840.0
4538,54.0,1,3,14.0,3,1,4,5.0,3,3.0,1,2.0,1,1,0,2.0,3,29612.0
2111,32.0,0,3,11.0,2,2,2,3.0,1,4.0,1,2.0,0,3,1,1.0,2,21524.0
3895,39.0,1,3,17.0,2,1,4,4.0,1,3.0,1,3.0,0,4,0,3.0,2,24021.0
4856,37.0,1,3,17.0,3,2,3,5.0,3,5.0,1,2.0,0,5,0,1.0,3,25772.0
2789,24.0,1,1,33.0,2,2,3,4.0,0,3.0,1,3.0,0,2,1,2.0,1,21582.0
3264,36.0,0,3,18.0,3,2,3,4.0,1,3.0,1,3.0,0,5,0,1.0,2,23646.0
1199,36.0,1,1,32.0,2,2,3,3.0,1,3.0,1,7.0,0,3,1,0.0,2,20347.0
39,33.0,0,3,6.0,2,1,2,2.0,1,5.0,0,3.0,0,3,1,0.0,2,20376.0
2891,36.0,1,3,7.0,3,2,3,4.0,1,3.0,0,2.0,0,3,1,1.0,2,23395.0
1695,59.0,1,1,9.0,2,2,3,4.0,0,3.0,1,4.0,0,3,0,0.0,1,17177.0
3905,51.0,1,3,35.0,3,2,3,5.0,3,5.0,1,6.0,1,5,0,1.0,3,29532.0
2507,60.0,1,3,32.0,2,0,3,4.0,3,5.0,3,2.0,0,3,1,1.0,3,26315.0
2857,43.0,0,1,35.0,1,1,3,5.0,1,3.0,0,2.0,0,3,0,1.0,2,23201.0
2839,44.0,0,1,28.0,3,2,4,4.0,0,3.0,0,2.0,0,4,0,3.0,1,20936.0
3194,45.0,1,3,35.0,3,1,3,2.0,4,3.0,0,5.0,1,2,1,2.0,0,31998.0
2848,29.0,1,1,24.0,3,2,4,4.0,1,5.0,1,3.0,0,2,0,1.0,2,23236.0
4393,25.0,0,1,14.0,2,1,3,4.0,0,3.0,1,3.0,1,4,0,1.0,1,21564.0
3168,25.0,1,1,24.0,3,1,3,5.0,1,3.0,1,3.0,0,3,1,2.0,2,23055.0
2054,42.0,0,1,14.0,2,2,3,3.0,2,3.0,1,2.0,0,5,1,1.0,4,33430.0
1266,41.0,1,1,15.0,2,2,3,3.0,0,5.0,1,2.0,0,5,1,1.0,1,17289.0
4857,47.0,1,3,22.0,3,2,3,6.0,1,3.0,1,8.0,1,1,0,2.0,2,22101.0
1043,53.0,1,1,8.0,3,2,2,1.0,4,4.0,2,5.0,0,1,1,0.0,0,31598.0
1767,35.0,1,3,22.0,3,2,3,3.0,3,4.0,1,1.0,0,1,1,1.0,3,23020.0
379,55.0,1,1,8.0,2,1,3,3.0,4,3.0,2,3.0,1,5,0,1.0,0,31659.0
3925,30.0,1,1,22.0,2,1,3,5.0,1,3.0,3,2.0,1,1,1,2.0,2,22871.0
410,30.0,1,1,8.0,2,1,2,5.0,1,3.0,2,3.0,0,2,0,1.0,2,21091.0
1321,47.0,1,1,15.0,2,1,3,3.0,0,3.0,2,5.0,0,3,1,0.0,1,17105.0
859,29.0,1,1,21.0,2,1,3,5.0,0,3.0,0,1.0,1,5,1,0.0,1,17168.0
668,28.0,1,1,15.0,3,1,3,3.0,0,3.0,1,6.0,0,3,1,1.0,1,17377.0
2382,26.0,1,1,13.0,3,1,2,4.0,3,5.0,1,1.0,1,4,1,1.0,3,17875.0
1540,59.0,0,3,6.0,2,1,2,4.0,1,3.0,2,1.0,0,5,1,0.0,2,20473.0
2273,34.0,0,1,9.0,2,2,2,4.0,0,3.0,1,4.0,0,1,0,0.0,1,17979.0
3204,54.0,0,3,9.0,3,1,3,5.0,3,4.0,0,4.0,0,2,0,2.0,3,26203.0
1963,44.0,1,2,6.0,2,1,2,4.0,1,3.0,2,5.0,0,5,1,1.0,2,20985.0
3335,45.0,1,1,9.0,2,1,4,2.0,0,3.0,0,3.0,0,4,1,1.0,1,20689.0
2653,47.0,1,1,7.0,3,2,4,4.0,3,5.0,1,2.0,0,2,0,1.0,3,28074.0
4776,45.0,0,1,24.0,2,2,4,6.0,0,3.0,2,4.0,0,4,1,2.0,1,20968.0
3826,32.0,0,1,10.0,3,2,3,4.0,0,5.0,1,3.0,1,1,0,1.0,1,21743.0
3754,59.0,0,1,22.0,2,2,3,4.0,4,3.0,1,4.0,1,1,1,1.0,0,34465.0
1657,55.0,1,1,20.0,3,2,3,1.0,2,4.0,2,1.0,0,1,1,1.0,4,33722.0
4629,34.0,0,1,7.0,2,1,3,2.0,1,4.0,1,3.0,1,3,1,1.0,2,24166.0
3842,34.0,0,1,14.0,2,2,3,4.0,1,3.0,1,3.0,0,5,1,2.0,2,24646.0
2066,35.0,1,1,6.0,2,1,2,1.0,0,3.0,2,4.0,0,3,1,1.0,1,17506.0
2377,44.0,1,1,29.0,3,2,3,3.0,0,5.0,2,1.0,0,3,0,2.0,1,33213.0
4739,30.0,1,1,15.0,3,2,4,5.0,1,3.0,1,3.0,1,3,1,2.0,2,23734.0
1451,38.0,1,3,16.0,2,1,3,3.0,1,3.0,1,2.0,0,4,0,2.0,2,20343.0
3838,33.0,1,1,12.0,2,2,3,5.0,1,3.0,3,2.0,0,1,0,2.0,2,28357.0
1005,29.0,1,2,23.0,2,2,2,4.0,3,5.0,3,2.0,0,3,0,0.0,3,22988.0
1925,33.0,1,1,6.0,3,1,3,1.0,4,3.0,1,5.0,0,1,1,0.0,0,31184.0
891,44.0,1,1,8.0,2,1,3,1.0,0,3.0,0,2.0,0,4,1,0.0,1,17011.0
3069,46.0,1,3,16.0,3,2,4,4.0,3,5.0,1,6.0,1,2,1,1.0,3,29439.0
2385,21.0,0,3,24.0,3,1,3,3.0,1,3.0,1,1.0,1,5,0,1.0,2,17625.0
3232,29.0,1,1,17.0,2,1,3,4.0,1,3.0,3,5.0,0,4,1,2.0,2,22338.0
2349,60.0,1,3,13.0,3,2,2,1.0,1,3.0,1,1.0,1,5,0,0.0,2,20220.0
2016,29.0,1,3,16.0,2,2,3,3.0,0,3.0,2,2.0,0,4,1,0.0,1,17642.0
747,38.0,1,3,9.0,2,2,2,3.0,1,3.0,3,1.0,1,3,1,1.0,2,21861.0
56,35.0,0,3,24.0,2,2,3,3.0,3,5.0,0,2.0,0,4,1,0.0,3,24069.0
4755,25.0,1,1,31.0,3,2,3,4.0,0,4.0,3,2.0,0,5,0,2.0,1,22275.0
3352,34.0,1,3,17.0,3,2,3,2.0,3,3.0,1,2.0,1,4,1,2.0,3,27058.0
